iter	Passed	Remaining
0	96	96536
1	97	48610
2	98	32601
3	98	24588
4	99	19763
5	99	16543
6	100	14252
7	101	12542
8	101	11203
9	102	10124
10	102	9245
11	103	8514
12	103	7893
13	104	7361
14	105	6895
15	105	6489
16	106	6137
17	106	5823
18	107	5543
19	108	5292
20	108	5060
21	109	4847
22	109	4656
23	110	4481
24	110	4318
25	111	4171
26	111	4034
27	112	3904
28	112	3783
29	113	3671
30	114	3565
31	114	3465
32	115	3378
33	115	3293
34	116	3208
35	116	3132
36	117	3060
37	118	2992
38	118	2925
39	119	2864
40	120	2807
41	120	2749
42	121	2696
43	121	2647
44	122	2597
45	122	2549
46	123	2506
47	124	2463
48	124	2420
49	125	2380
50	125	2340
51	126	2301
52	126	2264
53	127	2229
54	127	2195
55	128	2162
56	128	2133
57	129	2102
58	130	2073
59	130	2045
60	131	2018
61	131	1991
62	132	1965
63	132	1941
64	133	1917
65	133	1893
66	134	1869
67	134	1847
68	135	1825
69	136	1807
70	136	1787
71	137	1770
72	137	1752
73	138	1732
74	139	1714
75	139	1697
76	140	1679
77	140	1661
78	141	1645
79	141	1629
80	142	1613
81	142	1597
82	142	1579
83	143	1565
84	144	1551
85	144	1538
86	145	1525
87	145	1512
88	146	1500
89	147	1487
90	147	1474
91	148	1462
92	148	1451
93	149	1439
94	149	1428
95	150	1417
96	151	1405
97	151	1394
98	152	1383
99	152	1372
100	153	1362
101	153	1354
102	154	1346
103	155	1337
104	155	1328
105	156	1319
106	157	1310
107	157	1301
108	158	1292
109	158	1284
110	159	1277
111	160	1269
112	160	1261
113	161	1255
114	162	1246
115	162	1238
116	163	1230
117	163	1222
118	164	1215
119	164	1209
120	165	1202
121	166	1195
122	166	1188
123	167	1181
124	167	1175
125	169	1172
126	169	1165
127	170	1159
128	170	1154
129	171	1147
130	172	1141
131	172	1136
132	173	1130
133	174	1124
134	174	1119
135	175	1114
136	176	1108
137	176	1103
138	177	1097
139	177	1091
140	178	1086
141	178	1080
142	179	1074
143	179	1069
144	180	1064
145	181	1059
146	181	1055
147	182	1049
148	183	1045
149	183	1041
150	184	1037
151	185	1032
152	185	1027
153	186	1022
154	186	1017
155	187	1012
156	187	1007
157	188	1002
158	188	998
159	189	993
160	189	988
161	190	985
162	191	981
163	191	977
164	192	972
165	192	968
166	193	964
167	193	960
168	194	956
169	195	952
170	196	954
171	197	951
172	198	947
173	198	944
174	199	940
175	199	936
176	200	932
177	201	928
178	201	925
179	202	922
180	202	918
181	203	914
182	204	910
183	204	907
184	205	904
185	205	900
186	206	897
187	206	893
188	207	890
189	208	887
190	208	883
191	209	880
192	209	877
193	210	874
194	211	871
195	211	868
196	212	865
197	212	862
198	213	859
199	213	855
200	214	852
201	215	849
202	215	846
203	216	843
204	216	840
205	217	838
206	218	835
207	219	834
208	220	832
209	220	830
210	221	828
211	222	826
212	222	823
213	223	821
214	224	819
215	225	816
216	225	814
217	226	811
218	226	808
219	227	807
220	228	804
221	229	802
222	229	799
223	230	797
224	230	794
225	231	792
226	231	789
227	232	787
228	233	784
229	233	782
230	234	779
231	234	776
232	235	774
233	235	772
234	236	770
235	237	767
236	237	765
237	238	762
238	238	760
239	239	757
240	239	755
241	240	752
242	240	749
243	241	747
244	241	745
245	242	742
246	242	740
247	243	738
248	244	736
249	244	733
250	245	732
251	245	729
252	246	727
253	246	725
254	247	723
255	248	720
256	248	718
257	249	716
258	249	714
259	250	712
260	250	710
261	251	708
262	251	705
263	252	703
264	253	701
265	253	699
266	254	697
267	254	695
268	255	693
269	255	691
270	256	689
271	256	687
272	257	685
273	258	683
274	258	681
275	259	680
276	259	678
277	260	676
278	261	674
279	261	672
280	262	671
281	262	669
282	263	667
283	263	665
284	264	663
285	265	662
286	265	660
287	266	658
288	266	656
289	267	654
290	268	653
291	268	651
292	269	649
293	269	647
294	270	646
295	270	644
296	271	642
297	272	641
298	272	639
299	273	638
300	273	636
301	274	634
302	275	632
303	275	631
304	276	629
305	276	627
306	277	625
307	277	624
308	278	622
309	278	620
310	279	619
311	280	617
312	280	615
313	281	614
314	281	612
315	282	610
316	282	609
317	283	607
318	283	606
319	284	604
320	284	602
321	285	600
322	285	599
323	286	597
324	287	596
325	287	594
326	288	593
327	288	591
328	289	589
329	289	588
330	290	586
331	290	585
332	291	583
333	291	582
334	292	580
335	292	578
336	293	577
337	294	575
338	294	574
339	295	572
340	295	571
341	296	569
342	296	568
343	297	566
344	297	565
345	298	564
346	299	562
347	299	561
348	300	559
349	300	558
350	301	556
351	301	555
352	302	553
353	302	552
354	303	551
355	303	549
356	304	548
357	305	546
358	305	545
359	306	544
360	306	543
361	307	542
362	308	540
363	308	539
364	309	537
365	309	536
366	310	535
367	310	533
368	311	532
369	311	531
370	312	529
371	313	528
372	313	527
373	314	526
374	314	524
375	315	523
376	316	522
377	316	521
378	317	519
379	317	518
380	318	517
381	318	515
382	319	514
383	320	513
384	320	512
385	321	511
386	321	509
387	322	508
388	322	507
389	323	505
390	324	504
391	324	503
392	325	502
393	325	500
394	326	499
395	326	498
396	327	497
397	328	496
398	328	494
399	329	493
400	329	492
401	330	490
402	330	489
403	331	488
404	331	487
405	332	486
406	332	484
407	333	483
408	333	482
409	334	480
410	334	479
411	335	478
412	335	477
413	336	476
414	336	475
415	337	473
416	337	472
417	338	471
418	339	470
419	339	468
420	340	467
421	340	466
422	341	465
423	341	464
424	342	463
425	342	461
426	343	460
427	343	459
428	344	458
429	345	457
430	345	456
431	346	455
432	346	454
433	347	453
434	350	455
435	350	454
436	351	452
437	352	451
438	352	450
439	353	449
440	353	448
441	354	447
442	354	446
443	355	445
444	355	443
445	356	442
446	357	441
447	357	440
448	358	439
449	358	438
450	359	437
451	360	436
452	360	435
453	361	434
454	361	433
455	362	432
456	362	431
457	363	430
458	364	429
459	364	428
460	365	426
461	365	426
462	366	425
463	367	424
464	368	423
465	369	422
466	369	421
467	370	421
468	371	420
469	372	419
470	372	418
471	373	417
472	373	416
473	374	415
474	375	414
475	375	413
476	376	413
477	377	412
478	378	411
479	378	410
480	379	409
481	379	408
482	380	407
483	381	406
484	381	405
485	382	404
486	382	403
487	383	402
488	384	401
489	384	400
490	385	399
491	385	398
492	386	397
493	387	396
494	387	395
495	388	394
496	388	393
497	389	392
498	390	391
499	390	390
500	391	389
501	391	388
502	392	388
503	393	387
504	393	386
505	394	385
506	395	384
507	395	383
508	396	382
509	396	381
510	397	380
511	397	379
512	398	378
513	399	377
514	399	376
515	400	375
516	400	374
517	401	373
518	401	372
519	402	371
520	403	370
521	403	369
522	404	368
523	404	367
524	405	366
525	405	365
526	406	364
527	406	363
528	407	362
529	407	361
530	408	360
531	408	359
532	409	358
533	410	357
534	410	356
535	411	356
536	411	355
537	412	354
538	412	353
539	413	352
540	413	351
541	414	350
542	415	349
543	415	348
544	416	347
545	416	346
546	417	345
547	418	344
548	418	343
549	419	343
550	419	342
551	420	341
552	421	340
553	421	339
554	422	338
555	423	337
556	423	337
557	424	336
558	425	335
559	425	334
560	426	333
561	427	332
562	427	331
563	428	331
564	429	330
565	429	329
566	430	328
567	430	327
568	431	326
569	432	325
570	432	325
571	433	324
572	433	323
573	434	322
574	435	321
575	435	320
576	436	319
577	437	319
578	437	318
579	438	317
580	439	316
581	439	315
582	440	314
583	440	314
584	441	313
585	442	312
586	442	311
587	443	310
588	444	309
589	444	309
590	445	308
591	446	307
592	446	306
593	447	305
594	448	305
595	448	304
596	449	303
597	450	302
598	450	301
599	451	300
600	451	299
601	452	299
602	453	298
603	453	297
604	454	296
605	454	295
606	455	294
607	456	294
608	456	293
609	457	292
610	457	291
611	458	290
612	459	289
613	459	289
614	460	288
615	461	287
616	462	286
617	462	285
618	463	285
619	463	284
620	464	283
621	465	282
622	465	281
623	466	281
624	467	280
625	467	279
626	468	278
627	469	278
628	470	277
629	471	276
630	472	276
631	472	275
632	473	274
633	473	273
634	474	272
635	475	271
636	475	271
637	476	270
638	477	269
639	477	268
640	478	267
641	478	267
642	479	266
643	480	265
644	480	264
645	481	263
646	482	263
647	482	262
648	483	261
649	484	260
650	484	259
651	485	259
652	486	258
653	486	257
654	487	256
655	487	255
656	488	255
657	489	254
658	490	253
659	491	252
660	491	252
661	492	251
662	493	250
663	494	250
664	495	249
665	496	248
666	496	248
667	497	247
668	498	246
669	498	245
670	499	244
671	500	244
672	500	243
673	501	242
674	502	241
675	502	240
676	503	240
677	503	239
678	504	238
679	505	237
680	506	237
681	506	236
682	507	235
683	508	234
684	508	233
685	509	233
686	510	232
687	510	231
688	511	230
689	511	230
690	512	229
691	513	228
692	514	227
693	514	227
694	515	226
695	516	225
696	517	224
697	517	224
698	518	223
699	519	222
700	519	221
701	520	220
702	521	220
703	521	219
704	522	218
705	523	217
706	524	217
707	525	216
708	525	215
709	526	215
710	527	214
711	528	213
712	529	212
713	529	212
714	530	211
715	530	210
716	531	209
717	532	208
718	532	208
719	533	207
720	533	206
721	534	205
722	535	205
723	535	204
724	536	203
725	537	202
726	537	201
727	538	201
728	539	200
729	539	199
730	540	198
731	541	198
732	541	197
733	542	196
734	543	195
735	543	195
736	544	194
737	545	193
738	546	192
739	546	192
740	547	191
741	548	190
742	548	189
743	549	189
744	550	188
745	550	187
746	551	186
747	552	186
748	552	185
749	553	184
750	554	183
751	554	182
752	555	182
753	556	181
754	557	180
755	557	180
756	558	179
757	559	178
758	560	177
759	560	177
760	561	176
761	562	175
762	562	174
763	563	174
764	564	173
765	564	172
766	565	171
767	566	171
768	566	170
769	567	169
770	568	168
771	568	168
772	569	167
