iter	Passed	Remaining
0	0	673
1	1	597
2	1	589
3	2	599
4	2	582
5	3	581
6	4	576
7	4	565
8	5	555
9	5	540
10	5	534
11	6	532
12	6	529
13	7	528
14	7	523
15	8	523
16	9	526
17	9	525
18	10	524
19	10	522
20	11	520
21	11	520
22	12	518
23	12	514
24	13	512
25	13	511
26	14	511
27	14	511
28	15	511
29	15	509
30	16	507
31	16	506
32	17	504
33	17	504
34	18	503
35	18	501
36	19	500
37	19	500
38	20	500
39	20	500
40	21	501
41	22	502
42	22	503
43	23	502
44	23	502
45	24	501
46	24	502
47	25	500
48	25	500
49	26	499
50	26	498
51	27	498
52	27	498
53	28	499
54	28	497
55	29	496
56	29	496
57	30	495
58	31	495
59	31	494
60	32	493
61	32	492
62	33	491
63	33	493
64	34	494
65	34	493
66	35	493
67	36	494
68	36	495
69	37	496
70	37	495
71	38	495
72	38	495
73	39	496
74	40	497
75	40	497
76	41	497
77	42	497
78	42	498
79	43	497
80	43	497
81	44	497
82	45	497
83	45	499
84	46	498
85	47	499
86	47	499
87	48	499
88	48	499
89	49	498
90	49	498
91	50	497
92	50	497
93	51	497
94	52	497
95	52	496
96	53	495
97	53	494
98	54	494
99	54	494
100	55	493
101	56	493
102	56	493
103	57	493
104	57	493
105	58	492
106	59	492
107	59	492
108	60	491
109	60	491
110	61	490
111	61	490
112	62	489
113	62	489
114	63	489
115	64	488
116	64	488
117	65	491
118	66	492
119	67	491
120	67	489
121	68	489
122	68	489
123	69	488
124	69	488
125	70	488
126	71	488
127	71	487
128	72	487
129	72	487
130	73	487
131	74	486
132	74	486
133	75	485
134	75	485
135	76	485
136	77	485
137	77	485
138	78	485
139	79	487
140	79	487
141	80	486
142	80	484
143	81	484
144	82	483
145	82	483
146	83	483
147	83	482
148	84	481
149	84	481
150	85	481
151	86	480
152	86	481
153	87	480
154	88	482
155	89	482
156	89	482
157	90	481
158	90	480
159	91	480
160	92	479
161	92	479
162	93	478
163	93	477
164	94	478
165	95	477
166	95	477
167	96	477
168	96	476
169	97	476
170	98	476
171	98	476
172	99	475
173	100	476
174	100	475
175	101	475
176	102	474
177	102	473
178	103	473
179	103	472
180	104	471
181	104	471
182	105	470
183	106	471
184	106	471
185	107	470
186	108	469
187	108	469
188	109	468
189	109	467
190	110	466
191	110	466
192	111	465
193	111	464
194	112	464
195	113	464
196	113	463
197	114	462
198	114	461
199	115	460
200	115	460
201	116	459
202	116	458
203	117	457
204	117	456
205	118	455
206	118	455
207	119	454
208	119	453
209	120	452
210	120	452
211	121	452
212	122	451
213	122	451
214	123	451
215	124	450
216	124	450
217	125	450
218	126	449
219	126	448
220	127	448
221	127	447
222	128	447
223	129	446
224	129	446
225	130	445
226	130	445
227	131	445
228	132	445
229	132	444
230	133	444
231	134	443
232	134	444
233	135	444
234	136	445
235	137	445
236	138	445
237	139	445
238	139	445
239	140	445
240	141	444
241	142	445
242	143	447
243	144	448
244	145	448
245	145	447
246	146	446
247	147	446
248	147	445
249	148	445
250	149	444
251	149	444
252	150	443
253	150	442
254	151	442
255	151	441
256	152	441
257	153	440
258	153	440
259	154	439
260	155	439
261	155	438
262	156	438
263	157	438
264	158	438
265	158	437
266	159	437
267	160	437
268	160	436
269	161	436
270	161	435
271	162	434
272	162	433
273	163	432
274	163	431
275	163	430
276	164	429
277	164	428
278	165	427
279	166	427
280	166	426
281	167	426
282	167	425
283	168	424
284	169	424
285	169	423
286	169	422
287	170	421
288	170	420
289	171	419
290	172	419
291	172	418
292	173	417
293	173	416
294	174	416
295	174	415
296	175	414
297	175	413
298	175	412
299	176	411
300	176	410
301	177	409
302	177	409
303	178	408
304	178	407
305	179	406
306	179	406
307	180	405
308	180	404
309	181	403
310	181	402
311	182	401
312	182	400
313	183	399
314	183	398
315	184	398
316	184	397
317	185	396
318	185	395
319	185	395
320	186	394
321	186	393
322	187	392
323	187	391
324	188	390
325	188	389
326	189	389
327	189	388
328	189	387
329	190	386
330	190	386
331	191	385
332	191	384
333	192	383
334	192	382
335	193	381
336	193	381
337	194	380
338	194	379
339	194	378
340	195	377
341	195	376
342	196	376
343	196	375
344	197	374
345	197	373
346	198	373
347	198	372
348	199	371
349	199	370
350	200	370
351	200	369
352	201	368
353	201	367
354	201	366
355	202	366
356	203	365
357	203	365
358	204	364
359	204	363
360	205	362
361	205	362
362	205	361
363	206	360
364	206	359
365	207	359
366	207	358
367	208	357
368	208	356
369	209	356
370	209	355
371	210	355
372	210	354
373	211	353
374	211	352
375	212	352
376	212	351
377	213	350
378	213	349
379	213	349
380	214	348
381	214	347
382	215	347
383	215	346
384	216	345
385	216	344
386	217	344
387	217	343
388	218	342
389	218	342
390	219	341
391	219	340
392	220	339
393	220	339
394	221	338
395	221	338
396	222	337
397	222	337
398	223	336
399	224	336
400	224	335
401	224	334
402	225	333
403	225	333
404	226	332
405	226	331
406	227	331
407	227	330
408	228	329
409	228	328
410	229	328
411	229	327
412	229	326
413	230	326
414	230	325
415	231	324
416	231	324
417	232	323
418	232	322
419	233	322
420	233	321
421	234	320
422	234	320
423	235	319
424	235	318
425	236	318
426	236	317
427	236	316
428	237	316
429	237	315
430	238	314
431	239	314
432	239	313
433	240	313
434	240	312
435	241	312
436	241	311
437	242	311
438	243	310
439	243	310
440	244	309
441	244	308
442	245	308
443	245	307
444	246	307
445	247	306
446	247	306
447	248	305
448	248	305
449	249	304
450	249	303
451	250	303
452	250	302
453	251	301
454	251	301
455	252	300
456	252	300
457	253	299
458	253	299
459	254	298
460	254	297
461	255	297
